dimension,value,records,with_sources,reviewed,with_evidence,origins_known,nonzero,distinct_sources,sparse
institution,abou-khater-project,4,4,1,0,0,0,7,1
institution,administrative-court,4,4,0,0,0,0,2,1
institution,afdb,1,1,0,0,0,0,1,1
institution,air-force,7,7,0,0,0,0,8,1
institution,al-badil,1,1,0,0,0,0,1,1
institution,al-karama-holding,1,1,1,0,0,0,1,1
institution,algeria,1,1,0,0,0,0,1,1
institution,altt,1,1,0,0,0,0,2,1
institution,amen-bank,1,1,0,0,0,0,2,1
institution,amt,1,1,0,0,0,0,6,1
institution,anrsd,2,2,0,0,0,0,4,1
institution,armed-forces,11,11,1,0,0,0,20,1
institution,atfd,1,1,0,0,0,0,2,1
institution,attessia-tv,3,3,0,0,0,0,6,1
institution,audit-court,5,5,0,0,0,0,5,1
institution,bct,14,14,0,0,0,0,11,1
institution,beylical-government,25,25,0,0,0,0,10,1
institution,bh-bank,4,4,0,0,0,0,1,1
institution,bhci,1,1,0,0,0,0,1,1
institution,biat,19,19,0,0,0,0,11,1
institution,bna,7,7,0,0,0,0,5,1
institution,bouricha-family,1,1,0,0,0,0,5,1
institution,bouzguenda-family,1,1,0,0,0,0,5,1
institution,bukhatir-group,1,1,0,0,0,0,6,1
institution,chebil-family-business,1,1,1,0,0,0,5,1
institution,china,1,1,0,0,0,0,1,1
institution,cnrd,3,3,0,0,0,0,4,1
institution,cnss,3,3,0,0,0,0,4,1
institution,conect,3,3,0,0,0,0,6,1
institution,conseil-superieur-education,1,1,0,0,0,0,3,1
institution,court-of-cassation,5,5,0,0,0,0,3,1
institution,cpg,3,3,0,0,0,0,5,1
institution,cpr,2,2,0,0,0,0,2,1
institution,csm,3,3,0,0,0,0,1,1
institution,douane,4,4,0,0,0,0,10,1
institution,egypt,1,1,0,0,0,0,1,1
institution,el-hiwar-ettounsi,6,6,0,0,0,0,8,1
institution,elloumi-group,4,4,0,0,0,0,7,1
institution,ennahda,7,7,0,0,0,0,9,1
institution,etap,2,2,0,0,0,0,2,1
institution,etat-tunisien,12,12,1,0,0,0,17,1
institution,ett,12,12,0,0,0,0,2,1
institution,ettakatol,1,1,0,0,0,0,1,1
institution,european-union,2,2,1,0,0,0,2,1
institution,founders-capital-partners,1,1,0,0,0,0,2,1
institution,france,1,1,0,0,0,0,1,1
institution,gct,4,4,0,0,0,0,6,1
institution,germany,1,1,0,0,0,0,2,1
institution,haica,6,6,0,0,0,0,1,1
institution,hannibal-tv,4,4,0,0,0,0,5,1
institution,haute-instance,1,1,0,0,0,0,2,1
institution,head-of-government,86,86,12,0,0,0,106,1
institution,id-party,1,1,0,0,0,0,1,1
institution,imf,1,1,0,0,0,0,2,1
institution,inlucc,2,2,0,0,0,0,4,1
institution,intl-rights-orgs,1,1,0,0,0,0,2,1
institution,investec,3,3,0,0,0,0,4,1
institution,isie,8,8,0,0,0,0,16,1
institution,italy,1,1,0,0,0,0,1,1
institution,ivd,2,2,0,0,0,0,2,1
institution,judiciary,37,37,1,0,0,0,46,1
institution,kallel-family,1,1,0,0,0,0,2,1
institution,karama-coalition,1,1,0,0,0,0,3,1
institution,la-poste-tunisienne,3,3,0,0,0,0,1,1
institution,la-presse-tunisie,2,2,0,0,0,0,2,1
institution,land-forces,5,5,0,0,0,0,12,1
institution,leaders-tunisie,2,2,0,0,0,0,4,1
institution,legislature,19,19,0,1,1,1,16,1
institution,libya,1,1,0,0,0,0,1,1
institution,ltdh,8,8,0,0,0,0,11,1
institution,mabrouk-group,6,6,0,0,0,0,11,1
institution,machrouu-tounes,1,1,0,0,0,0,1,1
institution,mds,1,1,0,0,0,0,3,1
institution,mediaset,1,1,0,0,0,0,4,1
institution,military-security,4,4,0,0,0,0,4,1
institution,ministry-defence,14,14,3,0,0,0,15,1
institution,ministry-equipment-housing,1,1,0,0,0,0,2,1
institution,ministry-finance,26,26,0,0,0,0,12,1
institution,ministry-health,1,1,0,0,0,0,1,1
institution,ministry-interior,31,31,10,0,0,0,32,1
institution,ministry-religious-affairs,14,14,0,0,0,0,8,1
institution,mnemty,1,1,0,0,0,0,1,1
institution,mosaique-fm,5,5,0,0,0,0,8,1
institution,mufti-republic,2,2,0,0,0,0,6,1
institution,national-dialogue-quartet,4,4,0,0,0,0,1,1
institution,national-guard,9,9,1,0,0,0,19,1
institution,national-security,25,25,2,0,0,0,38,1
institution,national-security-council,1,1,0,0,0,0,2,1
institution,navy,6,6,0,0,0,0,9,1
institution,nawaat,3,3,0,0,0,0,3,1
institution,neo-destour,1,1,0,0,0,0,1,1
institution,nessma-tv,7,7,0,0,0,0,7,1
institution,nidaa-tounes,7,7,0,0,0,0,6,1
institution,onat,10,10,0,1,1,1,4,1
institution,ooredoo-tunisie,1,1,0,0,0,0,2,1
institution,orange-tunisie,4,4,0,0,0,0,4,1
institution,pdl,1,1,0,0,0,0,1,1
institution,pdp,2,2,0,0,0,0,4,1
institution,people-movement,2,2,0,0,0,0,4,1
institution,popular-front,2,2,0,0,0,0,3,1
institution,poulina,13,13,0,0,0,0,12,1
institution,presidency,33,33,5,0,0,0,52,1
institution,presidential-security,4,4,0,0,0,0,7,1
institution,presidential-security-adviser,2,2,0,0,0,0,4,1
institution,public-security,1,1,0,0,0,0,3,1
institution,qalb-tounes,1,1,0,0,0,0,2,1
institution,qatar,2,2,0,0,0,0,1,1
institution,quintacom,1,1,0,0,0,0,4,1
institution,radio-zaytouna,3,3,0,0,0,0,7,1
institution,rcd,2,2,0,0,0,0,4,1
institution,republican-party,2,2,0,0,0,0,3,1
institution,republican-people-union,1,1,0,0,0,0,4,1
institution,russia,1,1,0,0,0,0,1,1
institution,saied-family-clan-network,3,3,0,0,0,0,3,1
institution,sncft,6,6,0,0,0,0,1,1
institution,sonede,2,2,0,0,0,0,1,1
institution,sonibank,1,1,0,0,0,0,1,1
institution,stb,26,26,0,0,0,0,6,1
institution,steg,8,8,0,0,0,0,3,1
institution,steg-energies-renouvelables,1,1,0,0,0,0,1,1
institution,steg-international-services,1,1,0,0,0,0,1,1
institution,tahya-tounes,2,2,0,0,0,0,1,1
institution,tayyar-dimocrati,4,4,0,0,0,0,6,1
institution,trabelsi-network,4,4,1,0,0,0,6,1
