perturbation,family,key,spearman,overlap_pct,swaps_top10,entered_top40,left_top40
shipped,discount,influence,1,100,0,,
documented-0.25,discount,influence,1,100,0,,
documented+0.25,discount,influence,1,100,0,,
reported-0.25,discount,influence,1,100,0,,
reported+0.25,discount,influence,1,100,0,,
inferred-0.25,discount,influence,0.997,97.5,0,ibrahim-chaibi,wassila-bourguiba
inferred+0.25,discount,influence,1,100,1,,
shipped,discount,composite,1,100,0,,
documented-0.25,discount,composite,1,100,0,,
documented+0.25,discount,composite,1,100,0,,
reported-0.25,discount,composite,0.999,100,1,,
reported+0.25,discount,composite,1,100,0,,
inferred-0.25,discount,composite,1,100,0,,
inferred+0.25,discount,composite,1,100,0,,
window 8→4 (halved),window,authority,1,100,0,,
window 8→16 (doubled),window,authority,1,100,0,,
slack year 365→183 month 92→46 (-50%),slack,authority,1,100,0,,
slack year 365→548 month 92→138 (+50%),slack,authority,1,100,0,,
window 8→4 (halved),window,proximity,1,100,0,,
window 8→16 (doubled),window,proximity,1,100,0,,
slack year 365→183 month 92→46 (-50%),slack,proximity,1,100,0,,
slack year 365→548 month 92→138 (+50%),slack,proximity,1,100,0,,
window 8→4 (halved),window,survival,1,100,0,,
window 8→16 (doubled),window,survival,1,100,0,,
slack year 365→183 month 92→46 (-50%),slack,survival,0.997,97.5,0,ghazi-chaouachi,youssef-chahed
slack year 365→548 month 92→138 (+50%),slack,survival,1,100,0,,
window 8→4 (halved),window,brokerage,1,100,0,,
window 8→16 (doubled),window,brokerage,1,100,0,,
slack year 365→183 month 92→46 (-50%),slack,brokerage,1,100,0,,
slack year 365→548 month 92→138 (+50%),slack,brokerage,1,100,0,,
window 8→4 (halved),window,reach,1,100,0,,
window 8→16 (doubled),window,reach,1,100,0,,
slack year 365→183 month 92→46 (-50%),slack,reach,1,100,0,,
slack year 365→548 month 92→138 (+50%),slack,reach,1,100,0,,
window 8→4 (halved),window,influence,1,100,0,,
window 8→16 (doubled),window,influence,1,100,0,,
slack year 365→183 month 92→46 (-50%),slack,influence,1,100,0,,
slack year 365→548 month 92→138 (+50%),slack,influence,1,100,0,,
window 8→4 (halved),window,composite,1,100,0,,
window 8→16 (doubled),window,composite,1,100,0,,
slack year 365→183 month 92→46 (-50%),slack,composite,0.993,100,0,,
slack year 365→548 month 92→138 (+50%),slack,composite,0.996,100,0,,
weight authority 1→0 (excluded),weight,composite,0.793,82.5,2,marouane-mabrouk;slim-riahi;ghazi-chaouachi;ahmed-nejib-chebbi;abdessattar-ben-moussa;najet-jaouadi;ridha-chalghoum,lotfi-ben-jeddou;mourad-saidane;ahmed-mestiri;hassine-gharbi;najla-bouden;habib-ben-yahia;mustapha-ben-jaafar
weight authority 1→0.5 (halved),weight,composite,0.957,90,1,marouane-mabrouk;najet-jaouadi;ridha-chalghoum;ghazi-chaouachi,ahmed-mestiri;najla-bouden;habib-ben-yahia;mustapha-ben-jaafar
weight authority 1→2 (doubled),weight,composite,0.932,87.5,1,tahar-ben-ammar;rachid-ammar;abdallah-kallel;chokri-riahi;mohamed-aziz-bouattour,faouzi-elloumi;abdelwahab-ben-ayed;farouk-bouasker;leila-jaffel;mustapha-ben-jaafar
weight proximity 1→0 (excluded),weight,composite,0.877,72.5,1,mohamed-aziz-bouattour;mohamed-el-ghoul;rejeb-khaznadar;mustapha-khaznadar;marouane-mabrouk;adel-jehane;mohamed-hajem;mohamed-khamassi;wided-bouchamaoui;ridha-chalghoum;khelifa-harroum,ali-seriati;brahim-bertagi;lotfi-ben-jeddou;faouzi-elloumi;mourad-saidane;abdelwahab-ben-ayed;farouk-bouasker;ahmed-mestiri;leila-jaffel;najla-bouden;habib-ben-yahia
weight proximity 1→0.5 (halved),weight,composite,0.967,95,1,marouane-mabrouk;ridha-chalghoum,najla-bouden;habib-ben-yahia
weight proximity 1→2 (doubled),weight,composite,0.998,92.5,1,yadh-ben-achour;ridha-belhaj;nadia-akacha,mohamed-habib-dhif;hassine-gharbi;mustapha-ben-jaafar
weight survival 1→0 (excluded),weight,composite,0.772,47.5,1,tahar-ben-ammar;yadh-ben-achour;ridha-belhaj;hichem-mechichi;lotfi-brahem;habib-ammar;abdelhamid-escheikh;abdallah-kallel;khaled-nouri;kamel-feki;chedli-neffati;mohamed-jegham;rafiq-belhaj-kacem;mohamed-najem-gharsalli;hedi-majdoub;hichem-fourati;rachid-sfar;mehdi-jomaa;mohammed-mzali;nadia-akacha;hassen-belkhodja,khaled-yahyaoui;brahim-bouderbala;nouri-ben-taous;rached-ghannouchi;mohamed-salah-hamdi;othman-battikh;abdelkarim-zbidi;mohamed-habib-dhif;othman-jarandi;ali-seriati;brahim-bertagi;faouzi-elloumi;mourad-saidane;abdelwahab-ben-ayed;farouk-bouasker;ahmed-mestiri;leila-jaffel;hassine-gharbi;najla-bouden;habib-ben-yahia;mustapha-ben-jaafar
weight survival 1→0.5 (halved),weight,composite,0.951,85,1,tahar-ben-ammar;yadh-ben-achour;abdallah-kallel;habib-ammar;ridha-belhaj;rachid-sfar,othman-jarandi;faouzi-elloumi;abdelwahab-ben-ayed;leila-jaffel;hassine-gharbi;mustapha-ben-jaafar
weight survival 1→2 (doubled),weight,composite,0.906,82.5,0,marouane-mabrouk;abdelhamid-belati;ridha-chalghoum;ghazi-chaouachi;slim-riahi;abdessattar-ben-moussa;ahmed-nejib-chebbi,mohamed-ennaceur;lotfi-ben-jeddou;mourad-saidane;farouk-bouasker;ahmed-mestiri;najla-bouden;habib-ben-yahia
weight brokerage 1→0 (excluded),weight,composite,0.967,97.5,1,chokri-riahi,mustapha-ben-jaafar
weight brokerage 1→0.5 (halved),weight,composite,0.992,100,0,,
weight brokerage 1→2 (doubled),weight,composite,0.99,95,2,marouane-mabrouk;tahar-ben-ammar,habib-ben-yahia;mustapha-ben-jaafar
weight reach 1→0 (excluded),weight,composite,0.941,95,1,chokri-riahi;marouane-mabrouk,farouk-bouasker;habib-ben-yahia
weight reach 1→0.5 (halved),weight,composite,0.979,97.5,1,chokri-riahi,habib-ben-yahia
weight reach 1→2 (doubled),weight,composite,0.972,95,2,najet-jaouadi;ridha-chalghoum,najla-bouden;mustapha-ben-jaafar
weight influence 1→0 (excluded),weight,composite,0.995,100,1,,
weight influence 1→0.5 (halved),weight,composite,0.999,100,1,,
weight influence 1→2 (doubled),weight,composite,0.995,100,0,,
remove allegation,edge-removal,authority,1,100,0,,
remove allegation,edge-removal,proximity,1,100,0,,
remove allegation,edge-removal,survival,1,100,0,,
remove allegation,edge-removal,brokerage,1,100,0,,
remove allegation,edge-removal,reach,1,100,0,,
remove allegation,edge-removal,influence,1,100,0,,
remove allegation,edge-removal,composite,1,100,0,,
remove appointment,edge-removal,authority,1,100,0,,
remove appointment,edge-removal,proximity,0.997,97.5,0,ali-chebbi,yadh-ben-achour
remove appointment,edge-removal,survival,1,100,0,,
remove appointment,edge-removal,brokerage,0.988,97.5,3,ahmed-mestiri,mehdi-jomaa
remove appointment,edge-removal,reach,1,100,0,,
remove appointment,edge-removal,influence,1,100,0,,
remove appointment,edge-removal,composite,0.981,97.5,0,marouane-mabrouk,mourad-saidane
remove board,edge-removal,authority,1,100,0,,
remove board,edge-removal,proximity,1,100,0,,
remove board,edge-removal,survival,1,100,0,,
remove board,edge-removal,brokerage,0.949,95,3,ahmed-ben-salah;ahmed-mestiri,fadhel-abdelkefi;mehdi-jomaa
remove board,edge-removal,reach,1,100,0,,
remove board,edge-removal,influence,1,100,0,,
remove board,edge-removal,composite,0.998,100,0,,
remove business,edge-removal,authority,1,100,0,,
remove business,edge-removal,proximity,1,100,0,,
remove business,edge-removal,survival,1,100,0,,
remove business,edge-removal,brokerage,1,100,0,,
remove business,edge-removal,reach,1,100,0,,
remove business,edge-removal,influence,1,100,0,,
remove business,edge-removal,composite,1,100,0,,
remove diplomatic,edge-removal,authority,1,100,0,,
remove diplomatic,edge-removal,proximity,1,100,0,,
remove diplomatic,edge-removal,survival,1,100,0,,
remove diplomatic,edge-removal,brokerage,0.976,97.5,2,ahmed-ben-salah,ridha-belhaj
remove diplomatic,edge-removal,reach,1,100,0,,
remove diplomatic,edge-removal,influence,1,100,0,,
remove diplomatic,edge-removal,composite,0.997,97.5,0,marouane-mabrouk,mustapha-ben-jaafar
remove family,edge-removal,authority,1,100,0,,
remove family,edge-removal,proximity,1,100,0,,
remove family,edge-removal,survival,1,100,0,,
remove family,edge-removal,brokerage,0.984,90,1,ahmed-ben-salah;ahmed-mestiri;naoufel-saied;leila-jaffel,nesrine-ben-ali;sakher-el-materi;cyrine-ben-ali;hichem-mechichi
remove family,edge-removal,reach,1,100,0,,
remove family,edge-removal,influence,1,100,0,,
remove family,edge-removal,composite,0.998,97.5,0,chokri-riahi,faouzi-elloumi
remove institutional,edge-removal,authority,1,100,0,,
remove institutional,edge-removal,proximity,0.999,97.5,0,ali-chebbi,abdallah-farhat
remove institutional,edge-removal,survival,1,100,0,,
remove institutional,edge-removal,brokerage,0.877,85,4,ahmed-ben-salah;nabil-baffoun;farouk-bouasker;habib-boulares;ahmed-mestiri;mohamed-ghannouchi,tahar-ben-ammar;abdelwahab-ben-ayed;aziz-miled;zied-krichen;sara-zaafarani;zouheir-mejri
remove institutional,edge-removal,reach,1,100,0,,
remove institutional,edge-removal,influence,1,100,0,,
remove institutional,edge-removal,composite,0.98,97.5,1,chokri-riahi,abdelwahab-ben-ayed
remove ownership,edge-removal,authority,1,100,0,,
remove ownership,edge-removal,proximity,1,100,0,,
remove ownership,edge-removal,survival,1,100,0,,
remove ownership,edge-removal,brokerage,0.908,85,3,ahmed-ben-salah;ahmed-mestiri;mongi-slim;habib-bourguiba-jr;leila-jaffel;habib-boulares,aziz-miled;nesrine-ben-ali;sakher-el-materi;sarra-rejeb;hamadi-jebali;mehdi-jomaa
remove ownership,edge-removal,reach,1,100,0,,
remove ownership,edge-removal,influence,1,100,0,,
remove ownership,edge-removal,composite,0.993,100,0,,
remove party,edge-removal,authority,1,100,0,,
remove party,edge-removal,proximity,1,100,0,,
remove party,edge-removal,survival,1,100,0,,
remove party,edge-removal,brokerage,0.997,97.5,0,ahmed-mestiri,zouheir-mejri
remove party,edge-removal,reach,1,100,0,,
remove party,edge-removal,influence,1,100,0,,
remove party,edge-removal,composite,1,100,0,,
remove political-alliance,edge-removal,authority,1,100,0,,
remove political-alliance,edge-removal,proximity,1,100,0,,
remove political-alliance,edge-removal,survival,1,100,0,,
remove political-alliance,edge-removal,brokerage,0.993,97.5,2,ahmed-ben-salah,zouheir-mejri
remove political-alliance,edge-removal,reach,1,100,0,,
remove political-alliance,edge-removal,influence,1,100,0,,
remove political-alliance,edge-removal,composite,0.999,100,0,,
remove political-conflict,edge-removal,authority,1,100,0,,
remove political-conflict,edge-removal,proximity,1,100,0,,
remove political-conflict,edge-removal,survival,1,100,0,,
remove political-conflict,edge-removal,brokerage,0.985,97.5,2,ahmed-mestiri,hichem-mechichi
remove political-conflict,edge-removal,reach,1,100,0,,
remove political-conflict,edge-removal,influence,1,100,0,,
remove political-conflict,edge-removal,composite,0.974,97.5,2,marouane-mabrouk,mustapha-ben-jaafar
remove prosecution,edge-removal,authority,1,100,0,,
remove prosecution,edge-removal,proximity,1,100,0,,
remove prosecution,edge-removal,survival,1,100,0,,
remove prosecution,edge-removal,brokerage,0.782,87.5,2,najet-jaouadi;ahmed-ben-salah;leila-jaffel;ahmed-mestiri;mohamed-ghannouchi,ayachi-hammami;kamel-eltaief;ali-seriati;ridha-belhaj;kamel-guizani
remove prosecution,edge-removal,reach,1,100,0,,
remove prosecution,edge-removal,influence,1,100,0,,
remove prosecution,edge-removal,composite,0.997,97.5,0,najet-jaouadi,mustapha-ben-jaafar
remove reported-influence,edge-removal,authority,1,100,0,,
remove reported-influence,edge-removal,proximity,1,100,0,,
remove reported-influence,edge-removal,survival,1,100,0,,
remove reported-influence,edge-removal,brokerage,0.907,95,4,ahmed-mestiri;ahmed-ben-salah,hamadi-jebali;mehdi-jomaa
remove reported-influence,edge-removal,reach,1,100,0,,
